task_id	name	status	exit	time	realtime
5	generate_data (grid row: 6)	COMPLETED	0	5m 10s	1s
6	generate_data (grid row: 5)	COMPLETED	0	5m 10s	1s
1	generate_data (grid row: 2)	COMPLETED	0	5m 10s	1s
4	generate_data (grid row: 4)	COMPLETED	0	5m 10s	1s
7	generate_data (grid row: 7)	COMPLETED	0	5m 10s	1s
3	generate_data (grid row: 3)	COMPLETED	0	5m 10s	1s
8	generate_data (grid row: 8)	COMPLETED	0	5m 10s	1s
2	generate_data (grid row: 1)	COMPLETED	0	5m 10s	1s
9	generate_data (grid row: 9)	COMPLETED	0	5m 10s	1s
10	generate_data (grid row: 10)	COMPLETED	0	5m 10s	1s
13	generate_data (grid row: 13)	COMPLETED	0	5m 10s	1s
12	generate_data (grid row: 12)	COMPLETED	0	5m 10s	1s
11	generate_data (grid row: 11)	COMPLETED	0	5m 10s	1s
22	generate_data (grid row: 22)	COMPLETED	0	5m 10s	1s
14	generate_data (grid row: 14)	COMPLETED	0	5m 10s	1s
15	generate_data (grid row: 15)	COMPLETED	0	5m 10s	1s
17	generate_data (grid row: 17)	COMPLETED	0	5m 10s	0ms
18	generate_data (grid row: 18)	COMPLETED	0	5m 10s	0ms
16	generate_data (grid row: 16)	COMPLETED	0	5m 10s	0ms
19	generate_data (grid row: 19)	COMPLETED	0	5m 10s	0ms
20	generate_data (grid row: 20)	COMPLETED	0	5m 10s	0ms
21	generate_data (grid row: 21)	COMPLETED	0	5m 10s	0ms
28	generate_data (grid row: 28)	COMPLETED	0	5m 10s	0ms
23	generate_data (grid row: 23)	COMPLETED	0	5m 10s	1s
24	generate_data (grid row: 24)	COMPLETED	0	5m 10s	1s
25	generate_data (grid row: 25)	COMPLETED	0	5m 10s	1s
26	generate_data (grid row: 26)	COMPLETED	0	5m 10s	1s
27	generate_data (grid row: 27)	COMPLETED	0	5m 10s	1s
29	generate_data (grid row: 29)	COMPLETED	0	5m 10s	1s
30	generate_data (grid row: 30)	COMPLETED	0	5m 10s	1s
31	generate_data (grid row: 31)	COMPLETED	0	5m 10s	1s
32	generate_data (grid row: 32)	COMPLETED	0	5m 10s	0ms
39	run_methods (method: thresholding; grid row: 6)	COMPLETED	0	1m 50s	2s
36	run_methods (method: thresholding; grid row: 6)	COMPLETED	0	1m 50s	2s
33	run_methods (method: thresholding; grid row: 6)	COMPLETED	0	1m 50s	2s
35	run_methods (method: thresholding; grid row: 6)	COMPLETED	0	1m 50s	2s
41	run_methods (method: thresholding; grid row: 6)	COMPLETED	0	1m 50s	1s
43	run_methods (method: thresholding; grid row: 5)	COMPLETED	0	1m 50s	1s
45	run_methods (method: thresholding; grid row: 5)	COMPLETED	0	1m 50s	1s
47	run_methods (method: thresholding; grid row: 5)	COMPLETED	0	1m 50s	2s
38	run_methods (method: em; grid row: 6)	COMPLETED	0	4m 20s	6s
40	run_methods (method: em; grid row: 6)	COMPLETED	0	4m 20s	6s
37	run_methods (method: em; grid row: 6)	COMPLETED	0	4m 20s	7s
34	run_methods (method: em; grid row: 6)	COMPLETED	0	4m 20s	7s
42	run_methods (method: em; grid row: 6)	COMPLETED	0	4m 20s	6s
49	run_methods (method: thresholding; grid row: 5)	COMPLETED	0	1m 50s	2s
51	run_methods (method: thresholding; grid row: 5)	COMPLETED	0	1m 50s	1s
57	run_methods (method: thresholding; grid row: 2)	COMPLETED	0	1m 50s	1s
53	run_methods (method: thresholding; grid row: 2)	COMPLETED	0	1m 50s	2s
55	run_methods (method: thresholding; grid row: 2)	COMPLETED	0	1m 50s	1s
46	run_methods (method: em; grid row: 5)	COMPLETED	0	4m 20s	7s
44	run_methods (method: em; grid row: 5)	COMPLETED	0	4m 20s	7s
59	run_methods (method: thresholding; grid row: 2)	COMPLETED	0	1m 50s	2s
