task_id	name	status	exit	time	realtime
1	generate_data (grid row: 3)	COMPLETED	0	7m 15s	475ms
3	generate_data (grid row: 2)	COMPLETED	0	7m 15s	557ms
5	generate_data (grid row: 5)	COMPLETED	0	7m 15s	584ms
28	generate_data (grid row: 28)	COMPLETED	0	7m 15s	556ms
32	generate_data (grid row: 32)	COMPLETED	0	7m 15s	667ms
2	generate_data (grid row: 4)	COMPLETED	0	7m 15s	478ms
6	generate_data (grid row: 6)	COMPLETED	0	7m 15s	681ms
4	generate_data (grid row: 1)	COMPLETED	0	7m 15s	598ms
29	generate_data (grid row: 29)	COMPLETED	0	7m 15s	585ms
8	generate_data (grid row: 8)	COMPLETED	0	7m 15s	582ms
7	generate_data (grid row: 7)	COMPLETED	0	7m 15s	545ms
30	generate_data (grid row: 30)	COMPLETED	0	7m 15s	576ms
35	run_methods (method: em; grid row: 3)	FAILED	1	6m	14ms
36	run_methods (method: em; grid row: 3)	FAILED	1	6m	2ms
43	run_methods (method: thresholding; grid row: 2)	COMPLETED	0	2m 15s	991ms
58	run_methods (method: em; grid row: 5)	FAILED	1	6m	2ms
62	run_methods (method: em; grid row: 5)	FAILED	1	6m	2ms
66	run_methods (method: em; grid row: 28)	FAILED	1	6m	2ms
72	run_methods (method: em; grid row: 28)	FAILED	1	6m	2ms
76	run_methods (method: em; grid row: 32)	FAILED	1	6m	17ms
78	run_methods (method: em; grid row: 32)	FAILED	1	6m	20ms
80	run_methods (method: em; grid row: 32)	FAILED	1	6m	2ms
81	run_methods (method: thresholding; grid row: 32)	COMPLETED	0	2m 15s	1.2s
82	run_methods (method: em; grid row: 32)	FAILED	1	6m	2ms
90	run_methods (method: em; grid row: 4)	FAILED	1	6m	2ms
92	run_methods (method: em; grid row: 4)	FAILED	1	6m	2ms
95	run_methods (method: thresholding; grid row: 6)	COMPLETED	0	2m 15s	1.3s
100	run_methods (method: em; grid row: 6)	FAILED	1	6m	2ms
44	run_methods (method: em; grid row: 2)	FAILED	1	6m	8ms
55	run_methods (method: thresholding; grid row: 5)	COMPLETED	0	2m 15s	1.6s
71	run_methods (method: thresholding; grid row: 28)	COMPLETED	0	2m 15s	1.6s
77	run_methods (method: thresholding; grid row: 32)	COMPLETED	0	2m 15s	1.4s
79	run_methods (method: thresholding; grid row: 32)	COMPLETED	0	2m 15s	1.8s
83	run_methods (method: thresholding; grid row: 4)	COMPLETED	0	2m 15s	1.2s
91	run_methods (method: thresholding; grid row: 4)	COMPLETED	0	2m 15s	1s
94	run_methods (method: em; grid row: 6)	FAILED	1	6m	1ms
93	run_methods (method: thresholding; grid row: 6)	COMPLETED	0	2m 15s	1.2s
101	run_methods (method: thresholding; grid row: 6)	COMPLETED	0	2m 15s	1.1s
9	generate_data (grid row: 9)	COMPLETED	0	7m 15s	581ms
31	generate_data (grid row: 31)	COMPLETED	0	7m 15s	570ms
33	run_methods (method: thresholding; grid row: 3)	COMPLETED	0	2m 15s	1.1s
34	run_methods (method: thresholding; grid row: 3)	COMPLETED	0	2m 15s	1.1s
60	run_methods (method: em; grid row: 5)	FAILED	1	6m	8ms
64	run_methods (method: em; grid row: 28)	FAILED	1	6m	8ms
67	run_methods (method: thresholding; grid row: 28)	COMPLETED	0	2m 15s	1.2s
57	run_methods (method: thresholding; grid row: 5)	COMPLETED	0	2m 15s	1.7s
68	run_methods (method: em; grid row: 28)	FAILED	1	6m	3ms
73	run_methods (method: thresholding; grid row: 32)	COMPLETED	0	2m 15s	1.1s
85	run_methods (method: thresholding; grid row: 4)	COMPLETED	0	2m 15s	1.5s
84	run_methods (method: em; grid row: 4)	FAILED	1	6m	16ms
96	run_methods (method: em; grid row: 6)	FAILED	1	6m	9ms
102	run_methods (method: em; grid row: 6)	FAILED	1	6m	2ms
10	generate_data (grid row: 10)	COMPLETED	0	7m 15s	543ms
37	run_methods (method: thresholding; grid row: 3)	COMPLETED	0	2m 15s	1.1s
47	run_methods (method: thresholding; grid row: 2)	COMPLETED	0	2m 15s	985ms
59	run_methods (method: thresholding; grid row: 5)	COMPLETED	0	2m 15s	1.1s
63	run_methods (method: thresholding; grid row: 28)	COMPLETED	0	2m 15s	1.5s
69	run_methods (method: thresholding; grid row: 28)	COMPLETED	0	2m 15s	1.2s
86	run_methods (method: em; grid row: 4)	FAILED	1	6m	2ms
87	run_methods (method: thresholding; grid row: 4)	COMPLETED	0	2m 15s	1.3s
97	run_methods (method: thresholding; grid row: 6)	COMPLETED	0	2m 15s	1s
106	run_methods (method: em; grid row: 1)	FAILED	1	6m	2ms
103	run_methods (method: thresholding; grid row: 1)	COMPLETED	0	2m 15s	1.3s
105	run_methods (method: thresholding; grid row: 1)	COMPLETED	0	2m 15s	1.5s
107	run_methods (method: thresholding; grid row: 1)	COMPLETED	0	2m 15s	1.2s
108	run_methods (method: em; grid row: 1)	FAILED	1	6m	2ms
109	run_methods (method: thresholding; grid row: 1)	COMPLETED	0	2m 15s	1.1s
110	run_methods (method: em; grid row: 1)	FAILED	1	6m	2ms
111	run_methods (method: thresholding; grid row: 1)	COMPLETED	0	2m 15s	1.4s
112	run_methods (method: em; grid row: 1)	FAILED	1	6m	2ms
114	run_methods (method: em; grid row: 29)	FAILED	1	6m	2ms
116	run_methods (method: em; grid row: 29)	FAILED	1	6m	2ms
117	run_methods (method: thresholding; grid row: 29)	COMPLETED	0	2m 15s	1.1s
125	run_methods (method: thresholding; grid row: 8)	COMPLETED	0	2m 15s	1.1s
11	generate_data (grid row: 11)	COMPLETED	0	7m 15s	573ms
46	run_methods (method: em; grid row: 2)	FAILED	1	6m	1ms
56	run_methods (method: em; grid row: 5)	FAILED	1	6m	7ms
61	run_methods (method: thresholding; grid row: 5)	COMPLETED	0	2m 15s	1.1s
74	run_methods (method: em; grid row: 32)	FAILED	1	6m	2ms
113	run_methods (method: thresholding; grid row: 29)	COMPLETED	0	2m 15s	1.1s
115	run_methods (method: thresholding; grid row: 29)	COMPLETED	0	2m 15s	1s
118	run_methods (method: em; grid row: 29)	FAILED	1	6m	4.5s
124	run_methods (method: em; grid row: 8)	FAILED	1	6m	4.5s
39	run_methods (method: thresholding; grid row: 3)	COMPLETED	0	2m 15s	1s
65	run_methods (method: thresholding; grid row: 28)	COMPLETED	0	2m 15s	1.5s
70	run_methods (method: em; grid row: 28)	FAILED	1	6m	5.1s
88	run_methods (method: em; grid row: 4)	FAILED	1	6m	5.1s
98	run_methods (method: em; grid row: 6)	FAILED	1	6m	5.1s
104	run_methods (method: em; grid row: 1)	FAILED	1	6m	5.1s
119	run_methods (method: thresholding; grid row: 29)	COMPLETED	0	2m 15s	1s
127	run_methods (method: thresholding; grid row: 8)	COMPLETED	0	2m 15s	1s
12	generate_data (grid row: 12)	COMPLETED	0	7m 15s	587ms
75	run_methods (method: thresholding; grid row: 32)	COMPLETED	0	2m 15s	1.1s
41	run_methods (method: thresholding; grid row: 3)	COMPLETED	0	2m 15s	1.1s
49	run_methods (method: thresholding; grid row: 2)	COMPLETED	0	2m 15s	966ms
99	run_methods (method: thresholding; grid row: 6)	COMPLETED	0	2m 15s	1.2s
121	run_methods (method: thresholding; grid row: 29)	COMPLETED	0	2m 15s	1s
128	run_methods (method: em; grid row: 8)	FAILED	1	6m	19.7s
130	run_methods (method: em; grid row: 8)	FAILED	1	6m	15ms
132	run_methods (method: em; grid row: 8)	FAILED	1	6m	39ms
146	run_methods (method: em; grid row: 30)	FAILED	1	6m	8ms
150	run_methods (method: em; grid row: 30)	FAILED	1	6m	20ms
155	run_methods (method: thresholding; grid row: 9)	COMPLETED	0	2m 15s	1.2s
164	run_methods (method: em; grid row: 31)	FAILED	1	6m	2ms
165	run_methods (method: em; grid row: 31)	FAILED	1	6m	2ms
168	run_methods (method: em; grid row: 31)	FAILED	1	6m	2ms
13	generate_data (grid row: 13)	COMPLETED	0	7m 15s	577ms
40	run_methods (method: em; grid row: 3)	FAILED	1	6m	20s
45	run_methods (method: thresholding; grid row: 2)	COMPLETED	0	2m 15s	960ms
